Decomposition & iter & cols u & cols t & CPU & CPUmp & CPUpp & LB & gap & \\ \hline  % 20_48_1_3_0_0_0&With 10  20-48 instances, Pmin != pmax
&&&&&&&&&&
 Unit  &112&1075&0&36.1196&1.61698&33.6976&2372490&0.117545&  \\ &
Time  &56&0&1438&80.7729&3.18447&76.7939&2375210&0.00291193&  \\ &
Time 2  &231&0&2963&72.6022&20.2415&3.80386&2374680&0.0251813&  \\ &
Time 2 pmax  &165&0&3255&42.2514&12.5089&2.19249&2374680&0.0251813&  \\ &
Time 2 pmin  &137&0&2121&31.2127&8.00398&1.89496&2374680&0.0251813&  \\  \hline &
 Unit  &158&1133&0&44.9867&1.88193&41.939&2181860&0.123141&  \\ &
Time  &50&0&1327&65.9744&2.66123&62.6332&2184550&0&  \\ &
Time 2  &132&0&2524&35.5847&12.3077&1.82763&2184050&0.0232474&  \\ &
Time 2 pmax  &255&0&3572&62.4929&17.5829&3.35134&2184050&0.0232474&  \\ &
Time 2 pmin  &110&0&1890&25.1862&7.16671&1.49187&2184050&0.0232474&  \\  \hline &
 Unit  &149&1122&0&39.5177&1.63198&36.9743&2332490&0.0877564&  \\ &
Time  &46&0&1260&52.0509&1.92036&49.5583&2334380&0.00670368&  \\ &
Time 2  &216&0&2328&49.2108&11.3246&2.98579&2334000&0.0230209&  \\ &
Time 2 pmax  &135&0&2694&36.3639&10.7032&2.01043&2334000&0.0230209&  \\ &
Time 2 pmin  &117&0&1828&24.2447&6.14776&1.46199&2334000&0.0230209&  \\  \hline &
 Unit  &166&1077&0&44.7921&1.41384&42.5506&1958080&0.138891&  \\ &
Time  &48&0&1307&56.1936&2.08318&53.5363&1960800&0&  \\ &
Time 2  &112&0&2546&30.2103&11.0879&1.41441&1960440&0.0184107&  \\ &
Time 2 pmax  &182&0&2936&41.4219&11.6986&2.13944&1960440&0.0184107&  \\ &
Time 2 pmin  &69&0&1962&15.1887&4.85706&0.826763&1960440&0.0184107&  \\  \hline &
 Unit  &89&923&0&23.845&0.790394&22.5655&2149650&0.0995451&  \\ &
Time  &48&0&1401&58.491&2.6158&55.3035&2151700&0.00425226&  \\ &
Time 2  &133&0&2619&34.296&11.3029&1.71067&2151150&0.03021&  \\ &
Time 2 pmax  &172&0&2561&39.3718&10.8724&2.18406&2151150&0.03021&  \\ &
Time 2 pmin  &251&0&2672&53.4718&13.5728&3.14229&2151150&0.03021&  \\  \hline &
 Unit  &101&1233&0&26.1549&1.34592&24.3335&1969970&0.129828&  \\ &
Time  &49&0&1314&59.8023&2.51605&56.6987&1972440&0.00468941&  \\ &
Time 2  &118&0&2576&30.9913&10.6974&1.54023&1971850&0.0344755&  \\ &
Time 2 pmax  &136&0&3205&31.5614&9.33543&1.68264&1971850&0.0344755&  \\ &
Time 2 pmin  &166&0&2791&36.7772&10.0643&2.07544&1971850&0.0344755&  \\  \hline &
 Unit  &118&946&0&28.9016&1.01557&27.316&1896700&0.131366&  \\ &
Time  &39&0&933&45.0383&0.977938&43.6082&1899200&0&  \\ &
Time 2  &83&0&1896&17.4722&4.61767&1.0278&1898810&0.0203922&  \\ &
Time 2 pmax  &95&0&1894&18.0158&3.74081&1.15557&1898810&0.0203922&  \\ &
Time 2 pmin  &138&0&1503&23.6195&3.35414&1.65597&1898810&0.0203922&  \\  \hline &
 Unit  &169&1058&0&43.6288&1.47554&41.0913&1472150&0.208052&  \\ &
Time  &45&0&920&56.2939&1.06949&54.7236&1475220&0&  \\ &
Time 2  &130&0&2097&27.6845&7.6589&1.61395&1474670&0.0377221&  \\ &
Time 2 pmax  &78&0&2142&17.651&5.49721&0.98521&1474670&0.0377221&  \\ &
Time 2 pmin  &535&0&2206&96.5913&14.0393&6.77563&1474670&0.0377221&  \\  \hline &
 Unit  &182&1340&0&48.9513&1.98602&46.1086&2029110&0.130654&  \\ &
Time  &39&0&1078&45.7999&1.41555&43.9123&2031760&0&  \\ &
Time 2  &218&0&2393&46.6635&11.0236&2.685&2031400&0.0179521&  \\ &
Time 2 pmax  &131&0&2701&29.2772&9.14205&1.46675&2031400&0.0179521&  \\ &
Time 2 pmin  &153&0&2050&30.8278&7.68051&1.84284&2031400&0.0179521&  \\  \hline &
 Unit  &103&1017&0&25.3743&1.00718&23.8548&2430330&0.089092&  \\ &
Time  &47&0&1347&58.7804&2.28318&55.9155&2432500&0&  \\ &
Time 2  &117&0&2389&30.1275&10.3626&1.48379&2432170&0.013291&  \\ &
Time 2 pmax  &117&0&2627&27.1817&8.68485&1.40023&2432170&0.013291&  \\ &
Time 2 pmin  &100&0&2342&23.3881&7.80312&1.22243&2432170&0.013291&  \\  \hline &
 Unit  &134.7&1092.4&0&36.2272&1.4165354&34.04312&2079283&0.12558705&  \\ &
Time  &46.7&0&1232.5&57.91976&2.0727248&55.26835&2081776&0.001855728&  \\ &
Time 2  &149&0&2433.1&37.4843&11.062477&2.009313&2081322&0.02439032&  \\ &
Time 2 pmax  &146.6&0&2758.7&34.5589&9.976635&1.856816&2081322&0.02439032&  \\ &
Time 2 pmin  &177.6&0&2136.5&36.0508&8.268968&2.2390183&2081322&0.02439032&  \\  \hline &
